altitude_m,temperature_C,pressure_hPa
9.979429244995117,13.156463623046875,994.1349487304688
30.89104652404785,12.934844970703125,991.6669311523438
53.772071838378906,12.706817626953125,988.9713134765625
78.78763580322266,12.462066650390625,986.0301513671875
106.12686920166016,12.197662353515625,982.822998046875
135.99778747558594,11.907470703125,979.3272094726562
168.62310791015625,11.592010498046875,975.5192260742188
204.24057006835938,11.24822998046875,971.3741455078125
243.09609985351562,10.873443603515625,966.8665771484375
285.4659423828125,10.46551513671875,961.96826171875
331.6456298828125,10.03814697265625,956.6500244140625
381.933349609375,9.58685302734375,950.883056640625
436.65704345703125,9.15301513671875,944.6370239257812
496.1761779785156,8.766876220703125,937.8800659179688
560.86376953125,8.414306640625,930.5812377929688
631.1080932617188,8.04486083984375,922.7090454101562
707.2943725585938,7.615997314453125,914.2335815429688
789.8386840820312,7.1875,905.1240844726562
879.1621704101562,6.7117919921875,895.35205078125
975.68310546875,6.2095947265625,884.8919677734375
1079.8394775390625,5.718170166015625,873.719970703125
1192.09130859375,5.35430908203125,861.8171997070312
1312.8697509765625,4.842987060546875,849.1682739257812
1442.5411376953125,4.18658447265625,835.7637329101562
1581.4603271484375,3.43743896484375,821.5997924804688
1729.9305419921875,2.50750732421875,806.6802368164062
1888.218994140625,1.523162841796875,791.0167236328125
2056.589111328125,0.556976318359375,774.629638671875
2235.2421875,-0.44366455078125,757.5484619140625
2424.2646484375,-1.619140625,739.8121337890625
2623.64404296875,-2.89007568359375,721.4691162109375
2833.3115234375,-4.158111572265625,702.577880859375
3053.1640625,-5.358612060546875,683.2064819335938
3283.16943359375,-6.21673583984375,663.43115234375
3522.98486328125,-7.54132080078125,643.3359985351562
3771.75439453125,-9.356903076171875,623.0117797851562
4028.8291015625,-10.84991455078125,602.5538940429688
4293.69873046875,-12.34124755859375,582.0614624023438
4565.61328125,-13.81689453125,561.6339721679688
4843.626953125,-15.407684326171875,541.371337890625
5126.49853515625,-17.343292236328125,521.3709716796875
5412.5205078125,-19.471237182617188,501.7486572265625
5699.96337890625,-21.535232543945312,482.62030029296875
5988.083984375,-22.996414184570312,464.0511779785156
6277.0390625,-24.133926391601562,446.052734375
6566.93701171875,-25.445556640625,428.61309814453125
6857.43115234375,-27.225997924804688,411.71990966796875
7147.9931640625,-29.394866943359375,395.3612060546875
7438.20703125,-31.791152954101562,379.525390625
7727.8251953125,-34.32794189453125,364.2007141113281
8016.87646484375,-36.65180969238281,349.37518310546875
8305.4716796875,-38.988983154296875,335.0368347167969
8593.494140625,-41.458160400390625,321.174560546875
8880.6884765625,-44.17216491699219,307.7768859863281
9166.814453125,-47.0,294.8321228027344
9453.2724609375,-47.43537902832031,282.3291320800781
9741.3369140625,-48.27275085449219,270.2571716308594
10030.4560546875,-49.59434509277344,258.6054992675781
10320.3037109375,-50.93751525878906,247.36328125
10611.015625,-52.05644226074219,236.51988220214844
10902.89453125,-52.965972900390625,226.06430053710938
11196.107421875,-53.826202392578125,215.98680114746094
11490.6953125,-54.66937255859375,206.27761840820312
11786.767578125,-55.42002868652344,196.92596435546875
12084.580078125,-55.92022705078125,187.9217529296875
12384.5361328125,-56.05029296875,179.25656127929688
12687.0517578125,-56.00193786621094,170.9204864501953
12992.2578125,-56.02912902832031,162.90350341796875
13300.0546875,-56.1103515625,155.19735717773438
13610.5029296875,-56.05889892578125,147.79354858398438
13923.59765625,-56.22088623046875,140.68260192871094
14238.9765625,-56.70613098144531,133.855712890625
14556.419921875,-57.13169860839844,127.30524444580078
14875.90234375,-57.6671142578125,121.02274322509766
15197.40234375,-58.1328125,114.99989318847656
15521.00390625,-58.52830505371094,109.22907257080078
15846.6923828125,-59.0484619140625,103.70194244384766
16174.2763671875,-59.6265869140625,98.41154479980469
16503.849609375,-60.01853942871094,93.35018920898438
16835.94140625,-59.95411682128906,88.50972747802734
17171.048828125,-59.925933837890625,83.88070678710938
17507.943359375,-62.122283935546875,79.44925689697266
17846.11328125,-63.67411804199219,75.19989013671875
18187.98828125,-63.837921142578125,71.11869812011719
18535.458984375,-64.05918884277344,67.19408416748047
18890.09765625,-63.45475769042969,63.415103912353516
19255.0078125,-61.25016784667969,59.7720947265625
19632.189453125,-59.716339111328125,56.25667953491211
20019.8359375,-60.56190490722656,52.86442947387695
20417.052734375,-60.43009948730469,49.5952262878418
20824.505859375,-60.82978820800781,46.449832916259766
21241.767578125,-61.398284912109375,43.428741455078125
21669.578125,-61.29585266113281,40.532108306884766
22109.357421875,-60.748748779296875,37.759796142578125
22562.775390625,-59.44305419921875,35.111061096191406
23032.20703125,-57.25621032714844,32.584312438964844
23518.265625,-56.10798645019531,30.177553176879883
24018.7890625,-56.50408935546875,27.88869857788086
24532.05859375,-57.394561767578125,25.715593338012695
25059.2421875,-57.31733703613281,23.6560115814209
25603.498046875,-56.238616943359375,21.707639694213867
26166.681640625,-55.409515380859375,19.86807632446289
26749.916015625,-54.22845458984375,18.134841918945312
27355.994140625,-52.144622802734375,16.505359649658203
27986.853515625,-50.49421691894531,14.976964950561523
28641.77734375,-49.852630615234375,13.546902656555176
29319.970703125,-49.61494445800781,12.212320327758789
30022.564453125,-49.0789794921875,10.970274925231934
30751.791015625,-48.32757568359375,9.817730903625488
31509.611328125,-47.556671142578125,8.751564025878906
32298.029296875,-46.63706970214844,7.768559455871582
33120.375,-45.0531005859375,6.865420341491699
33980.63671875,-43.15501403808594,6.038766860961914
34882.765625,-40.79998779296875,5.285147666931152
35831.9453125,-37.72084045410156,4.601042747497559
36833.4609375,-34.400054931640625,3.9828743934631348
