altitude_m,temperature_C,pressure_hPa
10.508160591125488,27.614410400390625,992.2597045898438
32.51632308959961,27.082763671875,989.7963256835938
56.5796012878418,26.721649169921875,987.1060180664062
82.87639617919922,26.384490966796875,984.1710205078125
111.60668182373047,26.050445556640625,980.9707641601562
142.98974609375,25.700531005859375,977.48291015625
177.25942993164062,25.326629638671875,973.683837890625
214.66493225097656,24.925933837890625,969.5486450195312
255.46409606933594,24.49749755859375,965.052001953125
299.9467468261719,24.037872314453125,960.166015625
348.4198913574219,23.525634765625,954.861083984375
401.19097900390625,22.973480224609375,949.10888671875
458.5959777832031,22.388214111328125,942.8789672851562
520.9938354492188,21.751068115234375,936.1397094726562
588.750244140625,21.07342529296875,928.8599853515625
662.2532348632812,20.3795166015625,921.0086669921875
741.90966796875,19.73956298828125,912.5557861328125
828.177001953125,19.223297119140625,903.4706420898438
921.5324096679688,18.84844970703125,893.724853515625
1022.4342651367188,18.4586181640625,883.29296875
1131.33642578125,18.085357666015625,872.1512451171875
1248.72998046875,17.895477294921875,860.2806396484375
1375.10595703125,17.6651611328125,847.6660766601562
1510.919189453125,17.446197509765625,834.2979125976562
1656.570068359375,17.0311279296875,820.17236328125
1812.365478515625,16.3831787109375,805.293212890625
1978.63037109375,15.78399658203125,789.6720581054688
2155.620361328125,14.7579345703125,773.3291625976562
2343.378173828125,13.143463134765625,756.2938842773438
2541.8671875,11.438232421875,738.6051025390625
2751.09375,9.90826416015625,720.31103515625
2971.041015625,8.464324951171875,701.4698486328125
3201.459716796875,6.759307861328125,682.1494750976562
3441.89892578125,4.89044189453125,662.4258422851562
3691.945556640625,3.220245361328125,642.3828125
3951.139892578125,1.56201171875,622.1107177734375
4218.818359375,-0.3148193359375,601.7048950195312
4494.22314453125,-2.172515869140625,581.2639770507812
4776.625,-3.80938720703125,560.88720703125
5065.265625,-5.27825927734375,540.6741943359375
5359.31884765625,-6.61212158203125,520.72216796875
5657.501953125,-7.87603759765625,501.1463928222656
5957.962890625,-9.527984619140625,482.062744140625
6259.11083984375,-11.603485107421875,463.5361633300781
6560.134765625,-14.01318359375,445.5782165527344
6860.640625,-16.74664306640625,428.17694091796875
7160.37841796875,-19.547958374023438,411.3201904296875
7459.39013671875,-22.15716552734375,394.995849609375
7757.76953125,-24.735107421875,379.1925048828125
8055.5576171875,-27.221694946289062,363.8984069824219
8352.9521484375,-29.4359130859375,349.1015930175781
8650.3388671875,-31.274566650390625,334.7901611328125
8948.1396484375,-32.77546691894531,320.95306396484375
9246.681640625,-34.08781433105469,307.5788269042969
9546.2470703125,-35.1585693359375,294.6558837890625
9847.2255859375,-35.865386962890625,282.1730651855469
10149.8828125,-36.53468322753906,270.1197204589844
10454.0556640625,-37.513458251953125,258.48516845703125
10759.353515625,-38.80934143066406,247.25860595703125
11065.5,-40.22282409667969,236.42945861816406
11372.43359375,-41.63557434082031,225.98680114746094
11680.1455078125,-43.043304443359375,215.9208984375
11988.640625,-44.4287109375,206.22210693359375
12298.0146484375,-45.730194091796875,196.87966918945312
12608.443359375,-46.87835693359375,187.8835906982422
12920.0087890625,-48.00636291503906,179.22544860839844
13232.5029296875,-49.47633361816406,170.8955078125
13545.529296875,-51.20912170410156,162.88372802734375
13858.9580078125,-52.795684814453125,155.18197631835938
14173.0244140625,-54.14808654785156,147.78179931640625
14488.0,-55.37995910644531,140.67381286621094
14804.0244140625,-56.5399169921875,133.84930419921875
15121.298828125,-57.42720031738281,127.30068969726562
15440.2841796875,-57.95780944824219,121.01959991455078
15761.2333984375,-58.51554870605469,114.9977798461914
16084.232421875,-58.897430419921875,109.22770690917969
16409.521484375,-59.167144775390625,103.70109558105469
16736.767578125,-59.92616271972656,98.4110336303711
17065.265625,-61.099700927734375,93.34989166259766
17394.669921875,-62.32798767089844,88.50956726074219
17725.27734375,-63.27961730957031,83.88062286376953
18059.05078125,-62.673095703125,79.44922637939453
